"","transect","transect.length","habitat","regeneration","distrubance.rank","survey.ID","period","Eulemur.count","Hapalemur.count","Varecia.count","Propithecus.count","Indri.count","Lepilemur.count","Avahi.count","Microcebus.count","functional.group","encounter.rate"
"54","D",350,"Restoration","Regenerating","5",54,"Nocturnal",0,0,0,0,0,0,0,3,"diurnal.frugivore",0
"55","B",1000,"Protected","Intact","1",1,"Morning",0,0,0,4,0,0,0,0,"diurnal.folivore",0.004
"56","A",1000,"Protected","Intact","2",2,"Afternoon",0,0,0,0,2,0,0,0,"diurnal.folivore",0.002
"57","E",375,"Restoration","Regenerating","4",3,"Morning",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"58","F",800,"Protected","Intact","3",4,"Afternoon",0,0,3,0,0,0,0,0,"diurnal.folivore",0
"59","C",325,"Savoka","Regenerating","6",5,"Afternoon",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"60","C",325,"Savoka","Regenerating","6",6,"Morning",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"61","D",350,"Restoration","Regenerating","5",7,"Afternoon",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"62","A",1000,"Protected","Intact","2",8,"Morning",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"63","B",1000,"Protected","Intact","1",9,"Afternoon",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"64","F",800,"Protected","Intact","3",10,"Morning",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"65","E",375,"Restoration","Regenerating","4",11,"Afternoon",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"66","C",325,"Savoka","Regenerating","6",12,"Nocturnal",0,0,0,0,0,0,0,2,"diurnal.folivore",0
"67","D",350,"Restoration","Regenerating","5",13,"Nocturnal",0,0,0,0,0,0,0,6,"diurnal.folivore",0
"68","E",375,"Restoration","Regenerating","4",14,"Nocturnal",0,0,0,0,0,0,0,8,"diurnal.folivore",0
"69","D",350,"Restoration","Regenerating","5",15,"Morning",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"70","C",325,"Savoka","Regenerating","6",16,"Afternoon",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"71","B",1000,"Protected","Intact","1",17,"Morning",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"72","A",1000,"Protected","Intact","2",18,"Afternoon",0,0,1,1,3,0,0,0,"diurnal.folivore",0.004
"73","E",375,"Restoration","Regenerating","4",19,"Morning",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"74","F",800,"Protected","Intact","3",20,"Afternoon",0,3,0,5,0,0,0,0,"diurnal.folivore",0.01
"75","B",1000,"Protected","Intact","1",21,"Nocturnal",0,0,0,0,0,2,4,0,"diurnal.folivore",0
"76","F",800,"Protected","Intact","3",22,"Nocturnal",0,0,0,0,0,1,2,2,"diurnal.folivore",0
"77","A",1000,"Protected","Intact","2",23,"Nocturnal",0,0,0,0,0,6,0,0,"diurnal.folivore",0
"78","C",325,"Savoka","Regenerating","6",24,"Morning",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"79","D",350,"Restoration","Regenerating","5",25,"Afternoon",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"80","A",1000,"Protected","Intact","2",26,"Morning",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"81","B",1000,"Protected","Intact","1",27,"Afternoon",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"82","F",800,"Protected","Intact","3",28,"Morning",0,7,0,0,0,0,0,0,"diurnal.folivore",0.00875
"83","C",325,"Savoka","Regenerating","6",29,"Nocturnal",0,0,0,0,0,0,0,6,"diurnal.folivore",0
"84","D",350,"Restoration","Regenerating","5",30,"Afternoon",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"85","C",325,"Savoka","Regenerating","6",31,"Nocturnal",0,0,0,0,0,0,0,3,"diurnal.folivore",0
"86","D",350,"Restoration","Regenerating","5",32,"Nocturnal",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"87","F",800,"Protected","Intact","3",33,"Nocturnal",0,0,0,0,0,3,4,0,"diurnal.folivore",0
"88","B",1000,"Protected","Intact","1",34,"Nocturnal",0,0,0,0,0,0,0,1,"diurnal.folivore",0
"89","C",325,"Savoka","Regenerating","6",35,"Morning",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"90","A",1000,"Protected","Intact","2",36,"Afternoon",0,0,0,5,3,0,0,0,"diurnal.folivore",0.008
"91","D",350,"Restoration","Regenerating","5",37,"Morning",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"92","E",375,"Restoration","Regenerating","4",38,"Nocturnal",0,0,0,0,0,0,0,3,"diurnal.folivore",0
"93","F",800,"Protected","Intact","3",39,"Nocturnal",0,0,0,0,0,1,4,1,"diurnal.folivore",0
"94","A",1000,"Protected","Intact","2",40,"Nocturnal",0,0,0,0,0,7,6,1,"diurnal.folivore",0
"95","D",350,"Restoration","Regenerating","5",41,"Morning",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"96","C",325,"Savoka","Regenerating","6",42,"Afternoon",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"97","E",375,"Restoration","Regenerating","4",43,"Nocturnal",0,0,0,0,0,0,0,3,"diurnal.folivore",0
"98","A",1000,"Protected","Intact","2",44,"Morning",0,0,0,0,1,0,0,0,"diurnal.folivore",0.001
"99","B",1000,"Protected","Intact","1",45,"Afternoon",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"100","E",375,"Restoration","Regenerating","4",46,"Afternoon",2,0,0,0,0,0,0,0,"diurnal.folivore",0
"101","B",1000,"Protected","Intact","1",47,"Nocturnal",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"102","E",375,"Restoration","Regenerating","4",48,"Morning",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"103","F",800,"Protected","Intact","3",49,"Afternoon",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"104","B",1000,"Protected","Intact","1",50,"Morning",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"105","A",1000,"Protected","Intact","2",51,"Nocturnal",0,0,0,0,0,4,3,1,"diurnal.folivore",0
"106","E",375,"Restoration","Regenerating","4",52,"Afternoon",0,0,0,0,0,0,0,0,"diurnal.folivore",0
"107","F",800,"Protected","Intact","3",53,"Morning",0,0,0,0,4,0,0,0,"diurnal.folivore",0.005
"108","D",350,"Restoration","Regenerating","5",54,"Nocturnal",0,0,0,0,0,0,0,3,"diurnal.folivore",0
"109","B",1000,"Protected","Intact","1",1,"Morning",0,0,0,4,0,0,0,0,"nocturnal.folivore",0
"110","A",1000,"Protected","Intact","2",2,"Afternoon",0,0,0,0,2,0,0,0,"nocturnal.folivore",0
"111","E",375,"Restoration","Regenerating","4",3,"Morning",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"112","F",800,"Protected","Intact","3",4,"Afternoon",0,0,3,0,0,0,0,0,"nocturnal.folivore",0
"113","C",325,"Savoka","Regenerating","6",5,"Afternoon",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"114","C",325,"Savoka","Regenerating","6",6,"Morning",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"115","D",350,"Restoration","Regenerating","5",7,"Afternoon",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
